,sentence_no,word,pos,target
137,15,movie,NN,O
138,15,set,VBN,O
139,15,in,IN,O
140,15,the,DT,O
141,15,1800s,CD,B-YEAR
142,16,who,WP,O
143,16,directed,VBD,O
144,16,the,DT,O
145,16,first,JJ,O
146,16,james,NNS,B-CHARACTER
147,16,bond,NN,I-CHARACTER
148,16,movies,NNS,O
149,17,list,NN,O
150,17,the,DT,O
151,17,r,NN,B-RATING
152,17,rated,VBN,O
153,17,best,JJS,B-RATINGS_AVERAGE
154,17,picture,NN,I-RATINGS_AVERAGE
155,17,oscar,NN,O
156,17,winners,NNS,O
157,18,where,WRB,O
158,18,can,MD,O
159,18,i,VB,O
160,18,buy,VB,O
161,18,the,DT,O
162,18,sucker,NN,B-TITLE
163,18,punch,NN,I-TITLE
164,18,soundtrack,NN,B-SONG
165,19,what,WP,O
166,19,british,JJ,B-GENRE
167,19,movies,NNS,O
168,19,came,VBD,O
169,19,out,RP,O
170,19,in,IN,O
171,19,1990s,CD,B-YEAR
172,19,about,IN,O
173,19,the,DT,O
174,19,royal,NN,B-PLOT
175,19,family,NN,I-PLOT
176,20,who,WP,O
177,20,did,VBD,O
178,20,the,DT,O
179,20,soundtrack,NN,B-SONG
180,20,to,TO,O
181,20,james,VB,B-DIRECTOR
182,20,camerons,NNS,I-DIRECTOR
183,20,titanic,JJ,B-TITLE
184,21,what,WDT,O
185,21,was,VBD,O
186,21,the,DT,O
187,21,last,JJ,B-YEAR
188,21,movie,NN,O
189,21,judy,NN,B-ACTOR
190,21,garland,NN,I-ACTOR
191,21,starred,VBD,O
192,21,in,IN,O
193,22,what,WP,O
194,22,military,JJ,B-GENRE
195,22,spoof,JJ,I-GENRE
196,22,movie,NN,O
197,22,did,VBD,O
198,22,charlie,VB,B-ACTOR
199,22,sheen,NN,I-ACTOR
200,22,do,VB,O
201,23,id,NNS,O
202,23,like,IN,O
203,23,a,DT,O
204,23,documentary,NN,B-GENRE
205,23,about,IN,O
206,23,doctors,NNS,B-PLOT
207,23,in,IN,O
208,23,a,DT,O
209,23,chicago,JJ,B-PLOT
210,23,hospital,NN,I-PLOT
211,23,in,IN,O
212,23,the,DT,O
213,23,1980s,NNS,B-YEAR
214,24,find,VB,O
215,24,the,DT,O
216,24,movies,NNS,O
217,24,action,NN,B-GENRE
218,24,movies,NNS,O
219,24,directed,VBN,O
220,24,by,IN,O
221,24,john,NN,B-DIRECTOR
222,24,woo,NN,I-DIRECTOR
223,24,from,IN,O
224,24,the,DT,O
225,24,1990s,CD,B-YEAR
226,25,what,WP,O
227,25,is,VBZ,O
228,25,a,DT,O
229,25,romantic,JJ,B-GENRE
230,25,film,NN,I-GENRE
231,25,where,WRB,O
232,25,the,DT,O
233,25,protagonist,NN,B-PLOT
234,25,doesnt,NN,I-PLOT
235,25,fall,NN,I-PLOT
236,25,in,IN,I-PLOT
237,25,love,NN,I-PLOT
238,26,does,VBZ,O
239,26,the,DT,O
240,26,original,JJ,B-TITLE
241,26,little,JJ,I-TITLE
242,26,mermaid,VBN,I-TITLE
243,26,by,IN,O
244,26,hans,NNS,O
245,26,christian,JJ,O
246,26,anderson,NN,O
247,26,come,VBN,O
248,26,on,IN,O
249,26,dvd,NN,O
250,27,is,VBZ,O
251,27,there,EX,O
252,27,a,DT,O
253,27,disney,NN,B-GENRE
254,27,movie,NN,I-GENRE
255,27,where,WRB,O
256,27,beyonce,NN,B-SONG
257,27,sang,NN,O
258,27,on,IN,O
259,27,the,DT,O
260,27,soundtrack,NN,B-SONG
261,28,did,VBD,O
262,28,shawn,NN,B-DIRECTOR
263,28,levy,NN,I-DIRECTOR
264,28,direct,JJ,O
265,28,any,DT,O
266,28,science,NN,B-GENRE
267,28,fiction,NN,I-GENRE
268,28,movies,NNS,O
269,28,in,IN,O
270,28,the,DT,O
271,28,2010s,CD,B-YEAR
272,29,any,DT,O
273,29,new,JJ,O
274,29,movie,NN,O
275,29,of,IN,O
276,29,david,NN,B-PLOT
277,29,dhawan,NN,I-PLOT
278,30,find,VB,O
279,30,me,PRP,O
280,30,all,PDT,O
281,30,the,DT,O
282,30,hannibal,JJ,B-CHARACTER
283,30,lector,NN,I-CHARACTER
284,30,movies,NNS,O
285,31,list,NN,O
286,31,childrens,NNS,B-GENRE
287,31,movies,NNS,O
288,31,with,IN,O
289,31,billy,RB,B-ACTOR
290,31,crystal,JJ,I-ACTOR
291,32,what,WDT,O
292,32,are,VBP,O
293,32,the,DT,O
294,32,best,JJS,B-RATINGS_AVERAGE
295,32,reviewed,JJ,I-RATINGS_AVERAGE
296,32,movie,NN,O
297,32,rock,NN,B-SONG
298,32,ballads,NNS,O
299,32,from,IN,O
300,32,the,DT,O
301,32,1980s,CD,B-YEAR
302,33,where,WRB,O
303,33,were,VBD,O
304,33,the,DT,O
305,33,free,JJ,B-TITLE
306,33,willy,NN,I-TITLE
307,33,movies,NNS,O
308,33,filmed,VBD,O
309,34,is,VBZ,O
310,34,there,EX,O
311,34,a,DT,O
312,34,movie,NN,O
313,34,with,IN,O
314,34,jennifer,NN,B-ACTOR
315,34,aniston,NN,I-ACTOR
316,34,that,WDT,O
317,34,is,VBZ,O
318,34,r,RB,B-RATING
319,34,rated,VBN,I-RATING
320,35,who,WP,O
321,35,was,VBD,O
322,35,the,DT,O
323,35,main,JJ,B-CHARACTER
324,35,character,NN,I-CHARACTER
325,35,in,IN,O
326,35,star,NN,B-TITLE
327,35,wars,NNS,I-TITLE
328,36,im,NN,O
329,36,looking,VBG,O
330,36,for,IN,O
331,36,a,DT,O
332,36,musical,JJ,B-GENRE
333,36,with,IN,O
334,36,the,DT,O
335,36,song,NN,B-SONG
336,36,day,NN,I-SONG
337,36,by,IN,I-SONG
338,36,day,NN,I-SONG
339,37,what,WP,O
340,37,movie,NN,O
341,37,has,VBZ,O
342,37,the,DT,O
343,37,shortest,JJS,B-TRAILER
344,37,trailer,NN,I-TRAILER
345,38,what,WP,O
346,38,movie,NN,O
347,38,has,VBZ,O
348,38,the,DT,O
349,38,song,NN,O
350,38,i,NN,B-SONG
351,38,will,MD,I-SONG
352,38,always,RB,I-SONG
353,38,love,VB,I-SONG
354,38,you,PRP,I-SONG
355,39,i,NN,O
356,39,want,VBP,O
357,39,to,TO,O
358,39,see,VB,O
359,39,a,DT,O
360,39,clint,NN,B-ACTOR
361,39,eastwood,NN,I-ACTOR
362,39,comedy,NN,B-GENRE
363,40,what,WP,O
364,40,was,VBD,O
365,40,whitney,JJ,B-ACTOR
366,40,houstons,NNS,I-ACTOR
367,40,first,RB,O
368,40,movie,NN,O
369,41,have,VB,O
370,41,u,NNS,O
371,41,had,VBD,O
372,41,the,DT,O
373,41,new,JJ,B-YEAR
374,41,trailer,NN,B-TRAILER
375,41,of,IN,O
376,41,fast,NN,B-TITLE
377,41,and,CC,I-TITLE
378,41,furious,JJ,I-TITLE
379,42,in,IN,O
380,42,what,WP,O
381,42,movie,NN,O
382,42,is,VBZ,O
383,42,jack,JJ,B-ACTOR
384,42,nicholson,NN,I-ACTOR
385,42,in,IN,O
386,42,an,DT,O
387,42,insane,NN,B-PLOT
388,42,asylum,NN,I-PLOT
389,43,list,NN,O
390,43,the,DT,O
391,43,dramatic,JJ,B-GENRE
392,43,movies,NNS,O
393,43,from,IN,O
394,43,the,DT,O
395,43,1980s,CD,B-YEAR
396,43,starring,VBG,O
397,43,donald,NN,B-ACTOR
398,43,sutherland,NN,I-ACTOR
399,44,show,VB,O
400,44,me,PRP,O
401,44,a,DT,O
402,44,list,NN,O
403,44,of,IN,O
404,44,rocky,JJ,B-TITLE
405,44,movies,NNS,O
406,45,what,WP,O
407,45,is,VBZ,O
408,45,the,DT,O
409,45,aaron,NN,B-DIRECTOR
410,45,sorkin,JJ,I-DIRECTOR
411,45,movie,NN,O
412,45,that,WDT,O
413,45,trent,JJ,B-SONG
414,45,reznor,NN,I-SONG
415,45,did,VBD,O
416,45,the,DT,O
417,45,soundtrack,NN,B-SONG
418,45,for,IN,O
419,46,do,VBP,O
420,46,you,PRP,O
421,46,have,VB,O
422,46,any,DT,O
423,46,films,NNS,O
424,46,made,VBN,O
425,46,starring,VBG,O
426,46,michael,NN,B-ACTOR
427,46,jackson,NN,I-ACTOR
428,46,in,IN,O
429,46,the,DT,O
430,46,1970s,NNS,B-YEAR
431,47,are,VBP,O
432,47,there,RB,O
433,47,political,JJ,B-GENRE
434,47,drama,NN,I-GENRE
435,47,movies,NNS,O
436,47,with,IN,O
437,47,alec,NN,B-ACTOR
438,47,baldwin,NN,I-ACTOR
439,48,in,IN,O
440,48,what,WP,O
441,48,movie,NN,O
442,48,did,VBD,O
443,48,michael,VB,B-ACTOR
444,48,keaton,NNP,I-ACTOR
445,48,play,VB,O
446,48,batman,NN,B-TITLE
447,49,show,VB,O
448,49,me,PRP,O
449,49,movies,NNS,O
450,49,with,IN,O
451,49,ewan,JJ,B-ACTOR
452,49,macgregor,NN,I-ACTOR
453,49,singing,NN,O
454,50,show,VB,O
455,50,me,PRP,O
456,50,a,DT,O
457,50,list,NN,O
458,50,of,IN,O
459,50,superman,JJ,B-TITLE
460,50,movies,NNS,O
461,51,what,WP,O
462,51,romance,NN,B-GENRE
463,51,movies,NNS,I-GENRE
464,51,were,VBD,O
465,51,popular,JJ,B-REVIEW
466,51,in,IN,O
467,51,2002,CD,B-YEAR
468,52,list,NN,O
469,52,the,DT,O
470,52,movies,NNS,O
471,52,directed,VBN,B-DIRECTOR
472,52,by,IN,O
473,52,kevin,NNS,B-DIRECTOR
474,52,smith,NNS,I-DIRECTOR
475,52,with,IN,O
476,52,jason,NN,B-ACTOR
477,52,mews,NNS,I-ACTOR
478,53,find,VB,O
479,53,me,PRP,O
480,53,the,DT,O
481,53,movie,NN,O
482,53,with,IN,O
483,53,the,DT,O
484,53,song,NN,O
485,53,suicide,NN,B-SONG
486,53,is,VBZ,I-SONG
487,53,painless,JJ,I-SONG
488,54,will,MD,O
489,54,their,PRP$,O
490,54,be,VB,O
491,54,a,DT,O
492,54,movie,NN,O
493,54,made,VBN,O
494,54,about,IN,O
495,54,world,NN,B-PLOT
496,54,of,IN,I-PLOT
497,54,warcraft,NN,I-PLOT
498,55,are,VBP,O
499,55,there,EX,O
500,55,any,DT,O
501,55,wes,NN,B-DIRECTOR
502,55,anderson,NN,I-DIRECTOR
503,55,films,NNS,O
504,55,with,IN,O
505,55,jason,NN,B-ACTOR
506,55,schwartzman,NN,I-ACTOR
507,56,who,WP,O
508,56,directed,VBD,B-DIRECTOR
509,56,savannah,NN,B-TITLE
510,56,smiles,NNS,I-TITLE
511,57,show,VB,O
512,57,me,PRP,O
513,57,films,NNS,O
514,57,with,IN,O
515,57,owen,JJ,B-ACTOR
516,57,wilson,NN,I-ACTOR
517,57,movies,NNS,O
518,57,that,WDT,O
519,57,were,VBD,O
520,57,considered,VBN,O
521,57,must,MD,B-RATINGS_AVERAGE
522,57,see,VB,I-RATINGS_AVERAGE
523,58,find,VB,O
524,58,me,PRP,O
525,58,a,DT,O
526,58,movie,NN,O
527,58,which,WDT,O
528,58,features,VBZ,O
529,58,the,DT,O
530,58,song,NN,O
531,58,blaze,NN,B-SONG
532,58,of,IN,I-SONG
533,58,glory,NN,I-SONG
534,59,is,VBZ,O
535,59,any,DT,O
536,59,film,NN,O
537,59,maker,NN,O
538,59,planning,NN,O
539,59,to,TO,O
540,59,produce,VB,O
541,59,a,DT,O
542,59,world,NN,B-PLOT
543,59,of,IN,I-PLOT
544,59,warcraft,NN,I-PLOT
545,59,movie,NN,O
546,60,find,VB,O
547,60,all,DT,O
548,60,films,NNS,O
549,60,directed,VBN,O
550,60,by,IN,O
551,60,the,DT,O
552,60,farely,JJ,B-DIRECTOR
553,60,brothers,NNS,I-DIRECTOR
554,61,what,WDT,O
555,61,was,VBD,O
556,61,the,DT,O
557,61,last,JJ,O
558,61,move,NN,O
559,61,that,WDT,O
560,61,frank,VBD,B-ACTOR
561,61,sinatra,NN,I-ACTOR
562,61,was,VBD,O
563,61,in,IN,O
564,62,what,WP,O
565,62,film,NN,O
566,62,had,VBD,O
567,62,something,NN,O
568,62,to,TO,O
569,62,do,VB,O
570,62,with,IN,O
571,62,a,DT,O
572,62,one,NN,B-PLOT
573,62,armed,VBN,I-PLOT
574,62,man,NN,I-PLOT
575,63,find,VB,O
576,63,me,PRP,O
577,63,films,JJ,O
578,63,starring,VBG,O
579,63,rick,JJ,B-ACTOR
580,63,springfield,NN,I-ACTOR
581,64,list,NN,O
582,64,the,DT,O
583,64,movies,NNS,O
584,64,directed,VBN,O
585,64,by,IN,O
586,64,shawn,NN,B-DIRECTOR
587,64,levy,NN,I-DIRECTOR
588,64,starring,VBG,O
589,64,steve,NNS,B-ACTOR
590,64,martin,NN,I-ACTOR
591,65,did,VBD,O
592,65,james,NNS,B-DIRECTOR
593,65,cameron,VB,I-DIRECTOR
594,65,direct,JJ,O
595,65,any,DT,O
596,65,action,NN,B-GENRE
597,65,films,NNS,O
598,65,that,WDT,O
599,65,were,VBD,O
600,65,rated,VBN,O
601,65,just,RB,O
602,65,two,CD,B-RATINGS_AVERAGE
603,65,stars,NNS,I-RATINGS_AVERAGE
604,65,or,CC,O
605,65,less,JJR,O
606,66,find,VB,O
607,66,me,PRP,O
608,66,dramatic,JJ,B-GENRE
609,66,movies,NNS,O
610,66,with,IN,O
611,66,angelina,JJ,B-ACTOR
612,66,jolie,NNS,I-ACTOR
613,66,released,VBN,O
614,66,in,IN,O
615,66,the,DT,O
616,66,1990s,CD,B-YEAR
617,67,who,WP,O
618,67,directed,VBD,O
619,67,the,DT,O
620,67,most,RBS,O
621,67,horror,JJ,B-GENRE
622,67,movies,NNS,O
623,68,who,WP,O
624,68,directed,VBD,O
625,68,rocky,JJ,B-TITLE
626,68,4,CD,I-TITLE
627,69,what,WDT,O
628,69,was,VBD,O
629,69,the,DT,O
630,69,oscar,NN,B-REVIEW
631,69,winning,VBG,O
632,69,movie,NN,O
633,69,of,IN,O
634,69,1998,CD,B-YEAR
635,70,is,VBZ,O
636,70,there,EX,O
637,70,are,VBP,O
638,70,soundtrack,NN,B-SONG
639,70,for,IN,O
640,70,the,DT,O
641,70,movie,NN,O
642,70,roadtrip,NN,B-TITLE
643,71,list,NN,O
644,71,films,NNS,O
645,71,with,IN,O
646,71,ben,JJ,B-ACTOR
647,71,stiller,NN,I-ACTOR
648,71,and,CC,O
649,71,owen,NN,B-ACTOR
650,71,wilson,NN,I-ACTOR
651,72,how,WRB,O
652,72,many,JJ,O
653,72,movies,NNS,O
654,72,are,VBP,O
655,72,based,VBN,O
656,72,on,IN,O
657,72,the,DT,O
658,72,texas,NN,B-TITLE
659,72,chainsaw,NN,I-TITLE
660,72,massacre,NN,I-TITLE
661,73,did,VBD,O
662,73,jimmy,VB,B-ACTOR
663,73,stewart,NN,I-ACTOR
664,73,ever,RB,O
665,73,direct,VB,O
666,73,a,DT,O
667,73,movie,NN,O
668,74,who,WP,O
669,74,was,VBD,O
670,74,the,DT,O
671,74,starring,VBG,B-ACTOR
672,74,actor,NN,I-ACTOR
673,74,in,IN,O
674,74,the,DT,O
675,74,film,NN,O
676,74,called,VBN,O
677,74,matchstick,CD,B-TITLE
678,74,men,NNS,I-TITLE
679,75,are,VBP,O
680,75,there,RB,O
681,75,any,DT,O
682,75,good,JJ,B-REVIEW
683,75,nc,NN,B-RATING
684,75,17,CD,I-RATING
685,75,rated,VBN,O
686,75,movies,NNS,O
687,76,what,WP,O
688,76,action,NN,B-GENRE
689,76,movies,NNS,I-GENRE
690,76,are,VBP,O
691,76,based,VBN,B-PLOT
692,76,in,IN,I-PLOT
693,76,texas,NN,I-PLOT
694,77,what,WDT,O
695,77,are,VBP,O
696,77,disney,JJ,B-GENRE
697,77,movies,NNS,I-GENRE
698,77,that,WDT,O
699,77,do,VBP,O
700,77,not,RB,O
701,77,have,VB,O
702,77,a,DT,O
703,77,princess,NN,B-PLOT
704,77,in,IN,O
705,77,them,PRP,O
706,78,show,VB,O
707,78,me,PRP,O
708,78,comedies,NNS,B-GENRE
709,78,with,IN,O
710,78,brad,NN,B-ACTOR
711,78,pitt,NNS,I-ACTOR
712,78,released,VBN,O
713,78,in,IN,O
714,78,the,DT,O
715,78,2000s,CD,B-YEAR
716,79,who,WP,O
717,79,is,VBZ,O
718,79,the,DT,O
719,79,main,JJ,B-CHARACTER
720,79,character,NN,I-CHARACTER
721,79,of,IN,O
722,79,the,DT,O
723,79,godfather,NN,B-TITLE
724,80,what,WP,O
725,80,movie,NN,O
726,80,featured,VBD,O
727,80,a,DT,O
728,80,character,NN,B-CHARACTER
729,80,called,VBN,O
730,80,the,DT,B-CHARACTER
731,80,dude,NN,I-CHARACTER
732,81,are,VBP,O
733,81,there,EX,O
734,81,any,DT,O
735,81,rated,VBD,B-RATING
736,81,g,JJ,I-RATING
737,81,movies,NNS,O
738,81,about,IN,O
739,81,world,NN,B-PLOT
740,81,war,NN,I-PLOT
741,81,ii,NN,I-PLOT
742,82,please,VB,O
743,82,locate,VB,O
744,82,the,DT,O
745,82,george,NN,B-DIRECTOR
746,82,lucas,NN,I-DIRECTOR
747,82,film,NN,O
748,82,from,IN,O
749,82,1996,CD,B-YEAR
750,83,what,WP,O
751,83,actors,NNS,O
752,83,are,VBP,O
753,83,in,IN,O
754,83,the,DT,O
755,83,original,JJ,O
756,83,fast,NN,B-TITLE
757,83,and,CC,I-TITLE
758,83,the,DT,I-TITLE
759,83,furious,JJ,I-TITLE
760,84,what,WP,O
761,84,actor,NN,O
762,84,does,VBZ,O
763,84,the,DT,O
764,84,cameo,NN,B-PLOT
765,84,in,IN,O
766,84,the,DT,O
767,84,spongebob,NN,B-PLOT
768,84,movie,NN,O
769,85,what,WP,O
770,85,year,NN,B-YEAR
771,85,was,VBD,O
772,85,the,DT,B-TITLE
773,85,social,JJ,I-TITLE
774,85,network,NN,I-TITLE
775,85,made,VBD,O
776,86,what,WP,O
777,86,is,VBZ,O
778,86,the,DT,O
779,86,plot,NN,O
780,86,of,IN,O
781,86,rocky,JJ,B-TITLE
782,86,1,CD,I-TITLE
783,87,movies,NNS,O
784,87,released,VBN,O
785,87,from,IN,O
786,87,1990,CD,B-YEAR
787,87,to,TO,O
788,87,1991,CD,B-YEAR
789,88,did,VBD,O
790,88,garry,VB,B-DIRECTOR
791,88,marshall,NN,I-DIRECTOR
792,88,direct,VB,O
793,88,a,DT,O
794,88,drama,NN,B-GENRE
795,88,movie,NN,O
796,88,released,VBN,O
797,88,in,IN,O
798,88,the,DT,O
799,88,1980s,NNS,B-YEAR
800,89,show,VB,O
801,89,me,PRP,O
802,89,a,DT,O
803,89,list,NN,O
804,89,of,IN,O
805,89,the,DT,O
806,89,best,JJS,B-REVIEW
807,89,movies,NNS,O
808,89,of,IN,O
809,89,2011,CD,B-YEAR
810,90,find,VB,O
811,90,me,PRP,O
812,90,star,JJ,B-TITLE
813,90,wars,NNS,I-TITLE
814,90,movies,NNS,O
815,90,with,IN,O
816,90,natalie,JJ,B-ACTOR
817,90,portman,NN,I-ACTOR
818,91,what,WP,O
819,91,is,VBZ,O
820,91,the,DT,O
821,91,first,JJ,O
822,91,movie,NN,O
823,91,martin,NN,B-ACTOR
824,91,sheen,NN,I-ACTOR
825,91,starred,VBN,O
826,91,in,IN,O
827,92,did,VBD,O
828,92,george,VB,B-DIRECTOR
829,92,lucas,NN,I-DIRECTOR
830,92,direct,JJ,O
831,92,any,DT,O
832,92,dramas,NN,B-GENRE
833,93,what,WP,O
834,93,movie,NN,O
835,93,has,VBZ,O
836,93,the,DT,O
837,93,latest,JJS,B-YEAR
838,93,john,NN,B-SONG
839,93,williams,NNS,I-SONG
840,93,soundtrack,VBP,O
841,94,find,VB,O
842,94,me,PRP,O
843,94,the,DT,O
844,94,most,RBS,B-REVIEW
845,94,popular,JJ,I-REVIEW
846,94,westerns,NNS,B-GENRE
847,94,of,IN,O
848,94,all,DT,O
849,94,time,NN,O
850,95,what,WP,O
851,95,movies,NNS,O
852,95,from,IN,O
853,95,the,DT,O
854,95,1970s,CD,B-YEAR
855,95,had,VBD,O
856,95,car,NN,B-PLOT
857,95,chases,NNS,I-PLOT
858,96,what,WDT,O
859,96,was,VBD,O
860,96,the,DT,O
861,96,worst,JJS,B-RATINGS_AVERAGE
862,96,reviewed,JJ,I-RATINGS_AVERAGE
863,96,scary,JJ,B-GENRE
864,96,movie,NN,O
865,96,in,IN,O
866,96,2010,CD,B-YEAR
867,97,please,NN,O
868,97,find,VB,O
869,97,me,PRP,O
870,97,the,DT,O
871,97,thriller,NN,B-GENRE
872,97,about,IN,O
873,97,an,DT,O
874,97,art,JJ,B-PLOT
875,97,heist,NN,I-PLOT
876,97,from,IN,O
877,97,the,DT,O
878,97,late,JJ,O
879,97,1990s,NNS,B-PLOT
880,98,did,VBD,O
881,98,james,NNS,B-ACTOR
882,98,earl,VB,I-ACTOR
883,98,jones,NNS,I-ACTOR
884,98,star,VB,O
885,98,in,IN,O
886,98,any,DT,O
887,98,horror,NN,B-GENRE
888,98,films,NNS,O
889,99,what,WP,O
890,99,is,VBZ,O
891,99,the,DT,O
892,99,quote,NN,O
893,99,at,IN,O
894,99,the,DT,O
895,99,end,NN,O
896,99,of,IN,O
897,99,a,DT,B-TITLE
898,99,bronx,JJ,I-TITLE
899,99,tale,NN,I-TITLE
900,100,what,WP,O
901,100,is,VBZ,O
902,100,the,DT,O
903,100,top,JJ,B-RATINGS_AVERAGE
904,100,rated,VBN,I-RATINGS_AVERAGE
905,100,martin,JJ,B-DIRECTOR
906,100,scorsesy,NN,I-DIRECTOR
907,100,moive,NN,O
908,101,show,VB,O
909,101,me,PRP,O
910,101,a,DT,O
911,101,movie,NN,O
912,101,rated,VBN,O
913,101,pg,JJ,B-RATING
914,101,13,CD,I-RATING
915,101,that,WDT,O
916,101,is,VBZ,O
917,101,about,IN,O
918,101,ghosts,NNS,B-PLOT
919,102,what,WP,O
920,102,year,NN,B-YEAR
921,102,did,VBD,O
922,102,the,DT,B-TITLE
923,102,godfather,NN,I-TITLE
924,102,come,VBD,O
925,102,out,RP,O
926,103,show,VB,O
927,103,me,PRP,O
928,103,romantic,JJ,B-GENRE
929,103,comedy,NN,I-GENRE
930,103,movies,NNS,O
931,103,directed,VBN,O
932,103,by,IN,O
933,103,shawn,NN,B-DIRECTOR
934,103,levy,NN,I-DIRECTOR
935,104,show,VB,O
936,104,me,PRP,O
937,104,r,VB,B-RATING
938,104,rated,VBN,O
939,104,films,NNS,O
940,104,with,IN,O
941,104,jennifer,NN,B-ACTOR
942,104,aniston,NN,I-ACTOR
943,105,show,VB,O
944,105,me,PRP,O
945,105,g,JJ,B-RATING
946,105,rated,VBN,I-RATING
947,105,films,NNS,O
948,105,about,IN,O
949,105,dogs,NNS,B-PLOT
950,105,rated,VBN,O
951,105,must,MD,B-REVIEW
952,105,see,VB,I-REVIEW
953,106,show,VB,O
954,106,me,PRP,O
955,106,musicals,NNS,B-GENRE
956,106,starring,VBG,O
957,106,antonio,NN,B-ACTOR
958,106,banderas,NNS,I-ACTOR
959,107,are,VBP,O
960,107,there,EX,O
961,107,hitchcock,JJ,B-DIRECTOR
962,107,color,NN,O
963,107,movies,NNS,O
964,108,pg,RB,B-YEAR
965,108,13,CD,I-YEAR
966,108,movies,NNS,O
967,108,about,IN,O
968,108,animals,NNS,B-PLOT
969,109,is,VBZ,O
970,109,there,EX,O
971,109,a,DT,O
972,109,five,CD,B-RATINGS_AVERAGE
973,109,star,NN,I-RATINGS_AVERAGE
974,109,movie,NN,O
975,109,with,IN,O
976,109,the,DT,O
977,109,song,NN,O
978,109,love,VBD,B-SONG
979,109,the,DT,I-SONG
980,109,one,CD,I-SONG
981,109,youre,NN,I-SONG
982,109,with,IN,I-SONG
983,110,how,WRB,O
984,110,many,JJ,O
985,110,love,NN,B-GENRE
986,110,stories,NNS,I-GENRE
987,110,has,VBZ,O
